,公司代码,公司简称,公司全称,A股代码,A股简称,A股上市日期,城市
627,002630,华西能源,华西能源工业股份有限公司,002630,华西能源,2011年11月11日,四川自贡市
628,002631,德尔未来,德尔未来科技控股集团股份有限公司,002631,德尔未来,2011年11月11日,江苏苏州市
629,002632,道明光学,道明光学股份有限公司,002632,道明光学,2011年11月22日,浙江金华市
630,002633,*ST申科,申科滑动轴承股份有限公司,002633,*ST申科,2011年11月22日,浙江绍兴市
631,002634,棒杰股份,浙江棒杰数码针织品股份有限公司,002634,棒杰股份,2011年12月5日,浙江金华市
632,002635,安洁科技,苏州安洁科技股份有限公司,002635,安洁科技,2011年11月25日,江苏苏州市
633,002636,金安国纪,金安国纪科技股份有限公司,002636,金安国纪,2011年11月25日,上海市
634,002637,赞宇科技,浙江赞宇科技股份有限公司,002637,赞宇科技,2011年11月25日,浙江杭州市
635,002638,勤上光电,东莞勤上光电股份有限公司,002638,勤上光电,2011年11月25日,广东东莞市
636,002639,雪人股份,福建雪人股份有限公司,002639,雪人股份,2011年12月5日,福建福州市
637,002640,跨境通,跨境通宝电子商务股份有限公司,002640,跨境通,2011年12月8日,山西太原市
638,002641,永高股份,永高股份有限公司,002641,永高股份,2011年12月8日,浙江台州市
639,002642,荣之联,北京荣之联科技股份有限公司,002642,荣之联,2011年12月20日,北京市
640,002643,万润股份,中节能万润股份有限公司,002643,万润股份,2011年12月20日,山东烟台市
641,002644,佛慈制药,兰州佛慈制药股份有限公司,002644,佛慈制药,2011年12月22日,甘肃兰州市
642,002645,华宏科技,江苏华宏科技股份有限公司,002645,华宏科技,2011年12月20日,江苏无锡市
643,002646,青青稞酒,青海互助青稞酒股份有限公司,002646,青青稞酒,2011年12月22日,
644,002647,宏磊股份,浙江宏磊铜业股份有限公司,002647,宏磊股份,2011年12月28日,浙江绍兴市
645,002648,卫星石化,浙江卫星石化股份有限公司,002648,卫星石化,2011年12月28日,浙江嘉兴市
646,002649,博彦科技,博彦科技股份有限公司,002649,博彦科技,2012年1月6日,北京市
647,002650,加加食品,加加食品集团股份有限公司,002650,加加食品,2012年1月6日,湖南长沙市
648,002651,利君股份,成都利君实业股份有限公司,002651,利君股份,2012年1月6日,四川成都市
649,002652,扬子新材,苏州扬子江新型材料股份有限公司,002652,扬子新材,2012年1月19日,江苏苏州市
650,002653,海思科,海思科医药集团股份有限公司,002653,海思科,2012年1月17日,西藏山南地区
651,002654,万润科技,深圳万润科技股份有限公司,002654,万润科技,2012年2月17日,广东深圳市
652,002655,共达电声,山东共达电声股份有限公司,002655,共达电声,2012年2月17日,山东潍坊市
653,002656,卡奴迪路,广州卡奴迪路服饰股份有限公司,002656,卡奴迪路,2012年2月28日,广东广州市
654,002657,中科金财,北京中科金财科技股份有限公司,002657,中科金财,2012年2月28日,北京市
655,002658,雪迪龙,北京雪迪龙科技股份有限公司,002658,雪迪龙,2012年3月9日,北京市
656,002659,中泰桥梁,江苏中泰桥梁钢构股份有限公司,002659,中泰桥梁,2012年3月9日,江苏无锡市
657,002660,茂硕电源,茂硕电源科技股份有限公司,002660,茂硕电源,2012年3月16日,广东深圳市
658,002661,克明面业,克明面业股份有限公司,002661,克明面业,2012年3月16日,湖南益阳市
659,002662,京威股份,北京威卡威汽车零部件股份有限公司,002662,京威股份,2012年3月9日,北京市
