,公司全称,A股代码,A股简称,A股时间,B股代码,B股简称,B股时间,城市
98,山西兰花科技创业股份有限公司,600123,兰花科创,1998-12-17,,,,山西省晋城市
99,中铁铁龙集装箱物流股份有限公司,600125,铁龙物流,1998-05-11,,,,辽宁省大连市
100,杭州钢铁股份有限公司,600126,杭钢股份,1998-03-11,,,,浙江省杭州市
101,金健米业股份有限公司,600127,金健米业,1998-05-06,,,,湖南省常德市
102,江苏弘业股份有限公司,600128,弘业股份,1997-09-01,,,,江苏省南京市
103,重庆太极实业（集团）股份有限公司,600129,太极集团,1997-11-18,,,,重庆市
104,宁波波导股份有限公司,600130,波导股份,2000-07-06,,,,浙江省宁波市
105,四川岷江水利电力股份有限公司,600131,岷江水电,1998-04-02,,,,四川省阿坝藏族羌族自治州
106,重庆啤酒股份有限公司,600132,重庆啤酒,1997-10-30,,,,重庆市
107,武汉东湖高新集团股份有限公司,600133,东湖高新,1998-02-12,,,,湖北省武汉市
108,乐凯胶片股份有限公司,600135,乐凯胶片,1998-01-22,,,,河北省保定市
109,武汉当代明诚文化股份有限公司,600136,当代明诚,1998-03-03,,,,湖北省武汉市
110,四川浪莎控股股份有限公司,600137,浪莎股份,1998-04-16,,,,四川省宜宾市
111,中青旅控股股份有限公司,600138,中青旅,1997-12-03,,,,北京市
112,四川西部资源控股股份有限公司,600139,西部资源,1998-02-25,,,,四川省绵阳市
113,湖北兴发化工集团股份有限公司,600141,兴发集团,1999-06-16,,,,湖北省宜昌市
114,金发科技股份有限公司,600143,金发科技,2004-06-23,,,,广东省广州市
115,新疆亿路万源实业投资控股股份有限公司,600145,*ST新亿,1999-09-23,,,,新疆维吾尔自治区塔城地区
116,商赢环球股份有限公司,600146,商赢环球,1999-07-07,,,,宁夏回族自治区银川市
117,长春一东离合器股份有限公司,600148,长春一东,1998-05-20,,,,吉林省长春市
118,廊坊发展股份有限公司,600149,廊坊发展,1999-10-14,,,,河北省廊坊市
119,中国船舶工业股份有限公司,600150,中国船舶,1998-05-20,,,,上海市
120,上海航天汽车机电股份有限公司,600151,航天机电,1998-06-05,,,,上海市
121,宁波维科精华集团股份有限公司,600152,维科精华,1998-06-09,,,,浙江省宁波市
122,厦门建发股份有限公司,600153,建发股份,1998-06-16,,,,福建省厦门市
123,河北宝硕股份有限公司,600155,宝硕股份,1998-09-18,,,,河北省保定市
124,湖南华升股份有限公司,600156,华升股份,1998-05-27,,,,湖南省长沙市
125,永泰能源股份有限公司,600157,永泰能源,1998-05-13,,,,山西省晋中市
126,中体产业集团股份有限公司,600158,中体产业,1998-03-27,,,,天津市
127,北京市大龙伟业房地产开发股份有限公司,600159,大龙地产,1998-05-26,,,,北京市
128,浙江巨化股份有限公司,600160,巨化股份,1998-06-26,,,,浙江省衢州市
129,北京天坛生物制品股份有限公司,600161,天坛生物,1998-06-16,,,,北京市
130,深圳香江控股股份有限公司,600162,香江控股,1998-06-09,,,,广东省深圳市
131,中闽能源股份有限公司,600163,中闽能源,1998-06-02,,,,福建省南平市
132,宁夏新日恒力钢丝绳股份有限公司,600165,新日恒力,1998-05-29,,,,宁夏回族自治区石嘴山市
133,北汽福田汽车股份有限公司,600166,福田汽车,1998-06-02,,,,北京市
134,联美量子股份有限公司,600167,联美控股,1999-01-28,,,,辽宁省沈阳市
135,武汉三镇实业控股股份有限公司,600168,武汉控股,1998-04-27,,,,湖北省武汉市
136,太原重工股份有限公司,600169,太原重工,1998-09-04,,,,山西省太原市
137,上海建工集团股份有限公司,600170,上海建工,1998-06-23,,,,上海市
138,上海贝岭股份有限公司,600171,上海贝岭,1998-09-24,,,,上海市
139,河南黄河旋风股份有限公司,600172,黄河旋风,1998-11-26,,,,河南省许昌市
140,卧龙地产集团股份有限公司,600173,卧龙地产,1999-04-15,,,,浙江省绍兴市
141,美都能源股份有限公司,600175,美都能源,1999-04-08,,,,浙江省湖州市
142,中国巨石股份有限公司,600176,中国巨石,1999-04-22,,,,浙江省嘉兴市
143,雅戈尔集团股份有限公司,600177,雅戈尔,1998-11-19,,,,浙江省宁波市
144,哈尔滨东安汽车动力股份有限公司,600178,东安动力,1998-10-14,,,,黑龙江省哈尔滨市
145,安通控股股份有限公司,600179,安通控股,1998-11-04,,,,黑龙江省齐齐哈尔市
146,瑞茂通供应链管理股份有限公司,600180,瑞茂通,1998-07-03,,,,山东省烟台市
147,佳通轮胎股份有限公司,600182,S佳通,1999-05-07,,,,黑龙江省牡丹江市
148,广东生益科技股份有限公司,600183,生益科技,1998-10-28,,,,广东省东莞市
149,北方光电股份有限公司,600184,光电股份,2003-11-06,,,,湖北省襄阳市
150,格力地产股份有限公司,600185,格力地产,1999-06-11,,,,广东省珠海市
151,莲花健康产业集团股份有限公司,600186,莲花健康,1998-08-25,,,,河南省周口市
152,黑龙江国中水务股份有限公司,600187,国中水务,1998-11-11,,,,黑龙江省齐齐哈尔市
153,兖州煤业股份有限公司,600188,兖州煤业,1998-07-01,,,,山东省济宁市
154,吉林森林工业股份有限公司,600189,吉林森工,1998-10-07,,,,吉林省长春市
155,锦州港股份有限公司,600190,锦州港,1999-06-09,900952,锦港B股,1998-05-19,辽宁省锦州市
156,包头华资实业股份有限公司,600191,华资实业,1998-12-10,,,,内蒙古自治区包头市
157,兰州长城电工股份有限公司,600192,长城电工,1998-12-24,,,,甘肃省兰州市
158,上海创兴资源开发股份有限公司,600193,创兴资源,1999-05-27,,,,上海市
159,中牧实业股份有限公司,600195,中牧股份,1999-01-07,,,,北京市
160,上海复星医药（集团）股份有限公司,600196,复星医药,1998-08-07,,,,上海市
161,新疆伊力特实业股份有限公司,600197,伊力特,1999-09-16,,,,新疆维吾尔自治区伊犁哈萨克自治州
162,大唐电信科技股份有限公司,600198,大唐电信,1998-10-21,,,,北京市
163,安徽金种子酒业股份有限公司,600199,金种子酒,1998-08-12,,,,安徽省阜阳市
164,江苏吴中实业股份有限公司,600200,江苏吴中,1999-04-01,,,,江苏省苏州市
165,金宇生物技术股份有限公司,600201,生物股份,1999-01-15,,,,内蒙古自治区呼和浩特市
166,哈尔滨空调股份有限公司,600202,哈空调,1999-06-03,,,,黑龙江省哈尔滨市
167,福建福日电子股份有限公司,600203,福日电子,1999-05-14,,,,福建省福州市
168,有研新材料股份有限公司,600206,有研新材,1999-03-19,,,,北京市
169,河南安彩高科股份有限公司,600207,安彩高科,1999-07-14,,,,河南省安阳市
170,新湖中宝股份有限公司,600208,新湖中宝,1999-06-23,,,,浙江省嘉兴市
171,罗顿发展股份有限公司,600209,罗顿发展,1999-03-25,,,,海南省海口市
172,上海紫江企业集团股份有限公司,600210,紫江企业,1999-08-24,,,,上海市
173,西藏诺迪康药业股份有限公司,600211,西藏药业,1999-07-21,,,,西藏自治区拉萨市
174,山东江泉实业股份有限公司,600212,*ST江泉,1999-08-17,,,,山东省临沂市
175,扬州亚星客车股份有限公司,600213,亚星客车,1999-08-31,,,,江苏省扬州市
176,长春经开（集团）股份有限公司,600215,长春经开,1999-09-09,,,,吉林省长春市
177,浙江医药股份有限公司,600216,浙江医药,1999-10-21,,,,浙江省绍兴市
178,中再资源环境股份有限公司,600217,中再资环,1999-12-16,,,,陕西省铜川市
179,安徽全柴动力股份有限公司,600218,全柴动力,1998-12-03,,,,安徽省滁州市
180,山东南山铝业股份有限公司,600219,南山铝业,1999-12-23,,,,山东省烟台市
181,江苏阳光股份有限公司,600220,江苏阳光,1999-09-27,,,,江苏省无锡市
182,海南航空股份有限公司,600221,海南航空,1999-11-25,900945,海航B股,1997-06-26,海南省海口市
183,河南太龙药业股份有限公司,600222,太龙药业,1999-11-05,,,,河南省郑州市
184,鲁商置业股份有限公司,600223,鲁商置业,2000-01-13,,,,山东省淄博市
185,天津松江股份有限公司,600225,天津松江,2000-01-27,,,,天津市
186,浙江升华拜克生物股份有限公司,600226,升华拜克,1999-11-16,,,,浙江省湖州市
187,贵州赤天化股份有限公司,600227,赤天化,2000-02-21,,,,贵州省贵阳市
188,江西昌九生物化工股份有限公司,600228,昌九生化,1999-01-19,,,,江西省赣州市
189,青岛城市传媒股份有限公司,600229,城市传媒,2000-03-09,,,,山东省青岛市
190,沧州大化股份有限公司,600230,*ST沧大,2000-04-06,,,,河北省沧州市
191,凌源钢铁股份有限公司,600231,凌钢股份,2000-05-11,,,,辽宁省朝阳市
192,浙江金鹰股份有限公司,600232,金鹰股份,2000-06-02,,,,浙江省舟山市
193,圆通速递股份有限公司,600233,圆通速递,2000-06-08,,,,辽宁省大连市
194,山西广和山水文化传播股份有限公司,600234,广和山水,2000-06-15,,,,山西省太原市
195,民丰特种纸股份有限公司,600235,民丰特纸,2000-06-15,,,,浙江省嘉兴市
196,广西桂冠电力股份有限公司,600236,桂冠电力,2000-03-23,,,,广西壮族自治区南宁市
197,安徽铜峰电子股份有限公司,600237,铜峰电子,2000-06-09,,,,安徽省铜陵市
198,海南椰岛（集团）股份有限公司,600238,海南椰岛,2000-01-20,,,,海南省海口市
199,四川西部资源控股股份有限公司,600239,西部资源,1998-02-25,,,,四川省绵阳市
200,北京华业资本控股股份有限公司,600240,西部资源,2000-06-28,,,,北京市
201,辽宁时代万恒股份有限公司,600241,时代万恒,2000-11-28,,,,辽宁省大连市
202,中昌大数据股份有限公司,600242,中昌数据,2000-12-07,,,,广东省阳江市
203,青海华鼎实业股份有限公司,600243,青海华鼎,2000-11-20,,,,青海省西宁市
204,北京万通地产股份有限公司,600246,万通地产,2000-09-22,,,,北京市
