,公司代码,公司简称,公司全称,A股代码,A股简称,A股上市日期,城市
553,300566,激智科技,宁波激智科技股份有限公司,300566,激智科技,2016-11-15,浙江宁波市
554,300567,精测电子,武汉精测电子技术股份有限公司,300567,精测电子,2016-11-22,湖北武汉市
555,300568,星源材质,深圳市星源材质科技股份有限公司,300568,星源材质,2016-12-01,广东深圳市
556,300569,天能重工,青岛天能重工股份有限公司,300569,天能重工,2016-11-25,山东青岛市
557,300570,太辰光,深圳太辰光通信股份有限公司,300570,太辰光,2016-12-06,广东深圳市
558,300571,平治信息,杭州平治信息技术股份有限公司,300571,平治信息,2016-12-13,浙江杭州市
559,300572,安车检测,深圳市安车检测股份有限公司,300572,安车检测,2016-12-06,广东深圳市
560,300573,兴齐眼药,沈阳兴齐眼药股份有限公司,300573,兴齐眼药,2016-12-08,辽宁沈阳市
561,300575,中旗股份,江苏中旗作物保护股份有限公司,300575,中旗股份,2016-12-20,江苏南京市
562,300576,容大感光,深圳市容大感光科技股份有限公司,300576,容大感光,2016-12-20,广东深圳市
563,300577,开润股份,安徽开润股份有限公司,300577,开润股份,2016-12-21,安徽滁州市
564,300578,会畅通讯,上海会畅通讯股份有限公司,300578,会畅通讯,2017-01-25,上海市
565,300579,数字认证,北京数字认证股份有限公司,300579,数字认证,2016-12-23,北京市
566,300580,贝斯特,无锡贝斯特精机股份有限公司,300580,贝斯特,2017-01-11,江苏无锡市
567,300581,晨曦航空,西安晨曦航空科技股份有限公司,300581,晨曦航空,2016-12-20,陕西西安市
568,300582,英飞特,英飞特电子（杭州）股份有限公司,300582,英飞特,2016-12-28,浙江杭州市
569,300583,赛托生物,山东赛托生物科技股份有限公司,300583,赛托生物,2017-01-06,
570,300584,海辰药业,南京海辰药业股份有限公司,300584,海辰药业,2017-01-12,江苏南京市
571,300585,奥联电子,南京奥联汽车电子电器股份有限公司,300585,奥联电子,2016-12-29,江苏南京市
572,300586,美联新材,广东美联新材料股份有限公司,300586,美联新材,2017-01-04,广东汕头市
573,300587,天铁股份,浙江天铁实业股份有限公司,300587,天铁股份,2017-01-05,浙江台州市
574,300588,熙菱信息,新疆熙菱信息技术股份有限公司,300588,熙菱信息,2017-01-05,新疆乌鲁木齐市
575,300589,江龙船艇,江龙船艇科技股份有限公司,300589,江龙船艇,2017-01-13,广东中山市
576,300590,移为通信,上海移为通信技术股份有限公司,300590,移为通信,2017-01-11,上海市
577,300591,万里马,广东万里马实业股份有限公司,300591,万里马,2017-01-10,广东东莞市
578,300592,华凯创意,湖南华凯文化创意股份有限公司,300592,华凯创意,2017-01-20,湖南长沙市
579,300593,新雷能,北京新雷能科技股份有限公司,300593,新雷能,2017-01-13,北京市
580,300595,欧普康视,欧普康视科技股份有限公司,300595,欧普康视,2017-01-17,安徽合肥市
581,300596,利安隆,天津利安隆新材料股份有限公司,300596,利安隆,2017-01-19,天津市
582,300597,吉大通信,吉林吉大通信设计院股份有限公司,300597,吉大通信,2017-01-23,吉林长春市
583,300598,诚迈科技,诚迈科技（南京）股份有限公司,300598,诚迈科技,2017-01-20,江苏南京市
584,300599,雄塑科技,广东雄塑科技集团股份有限公司,300599,雄塑科技,2017-01-23,广东佛山市
585,300600,瑞特股份,常熟瑞特电气股份有限公司,300600,瑞特股份,2017-01-25,江苏苏州市
586,300602,飞荣达,深圳市飞荣达科技股份有限公司,300602,飞荣达,2017-01-26,广东深圳市
