,公司代码,公司简称,公司全称,A股代码,A股简称,A股上市日期,B股代码,B股简称,B股上市日期,城市
64,000150,宜华地产,宜华地产股份有限公司,000150,宜华地产,2000年8月7日,,,,广东省汕头市
65,000151,中成股份,中成进出口股份有限公司,000151,中成股份,2000年9月6日,,,,北京市
66,000152,山航B,山东航空股份有限公司,,,,200152,山航B,2000年9月12日,山东省济南市
67,000153,丰原药业,安徽丰原药业股份有限公司,000153,丰原药业,2000年9月20日,,,,安徽省合肥市
68,000155,川化股份,川化股份有限公司,000155,川化股份,2000年9月26日,,,,四川省成都市
69,000156,嘉瑞新材,湖南嘉瑞新材料集团股份有限公司,000156,*ST嘉瑞,2000年9月6日,,,,湖南省怀化市
70,000157,中联重科,长沙中联重工科技发展股份有限公司,000157,中联重科,2000年10月12日,,,,湖南省长沙市
71,000158,常山股份,石家庄常山纺织股份有限公司,000158,常山股份,2000年7月24日,,,,河北省石家庄市
72,000159,国际实业,新疆国际实业股份有限公司,000159,国际实业,2000年9月26日,,,,新疆乌鲁木齐市
73,000166,申万宏源,申万宏源集团股份有限公司,000166,申万宏源,2014年7月25日,,,,上海市
74,000301,东方市场,江苏吴江中国东方丝绸市场股份有限公司,000301,东方市场,2000年5月29日,,,,江苏省苏州市
75,000338,潍柴动力,潍柴动力股份有限公司,000338,潍柴动力,2007年4月30日,,,,山东省潍坊市
76,000400,许继电气,许继电气股份有限公司,000400,许继电气,1997年4月18日,,,,河南省许昌市
77,000401,冀东水泥,唐山冀东水泥股份有限公司,000401,冀东水泥,1996年6月14日,,,,河北省唐山市
78,000402,金融街,金融街控股股份有限公司,000402,金融街,1996年6月26日,,,,北京市
79,000403,振兴集团,振兴集团股份有限公司,000403,S*ST生化,1996年6月28日,,,,山西省太原市
80,000404,华意压缩,华意压缩机股份有限公司,000404,华意压缩,1996年6月19日,,,,江西省景德镇市
81,000407,胜利股份,山东胜利股份有限公司,000407,胜利股份,1996年7月3日,,,,山东省济南市
82,000408,玉源控股,玉源控股股份有限公司,000408,ST玉源,1996年6月28日,,,,河北省邯郸市
83,000409,泰复实业,泰复实业股份有限公司,000409,泰复实业,1996年6月27日,,,,广东省深圳市
84,000410,沈阳机床,沈阳机床股份有限公司,000410,沈阳机床,1996年7月18日,,,,辽宁省沈阳市
85,000411,英特集团,浙江英特集团股份有限公司,000411,英特集团,1996年7月16日,,,,浙江省杭州市
86,000413,宝石,石家庄宝石电子玻璃股份有限公司,000413,宝石A,1996年9月25日,200413,宝石B,1996年7月8日,河北省石家庄市
87,000415,汇通集团,新疆汇通（集团）股份有限公司,000415,汇通集团,1996年7月16日,,,,新疆乌鲁木齐市
88,000416,华馨实业,青岛华馨实业股份有限公司,000416,华馨实业,1996年7月19日,,,,山东省青岛市
89,000417,合肥百货,合肥百货大楼集团股份有限公司,000417,合肥百货,1996年8月12日,,,,安徽省合肥市
